"Non-resident visitors entering Canada, by country of residence 1"
"Frequency: Monthly"
"Table: 24-10-0050-01"
"Release date: 2025-12-22"
"Geography: Canada, Province or territory"
""
""

"Geography","Manitoba",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Country of residence 2","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024","January 2025","February 2025","March 2025","April 2025","May 2025","June 2025","July 2025","August 2025","September 2025","October 2025"
"Europe","302","380","274","48","64","13","20","91","44","1","116","8","1","0","279","22","364","102","61","31","45","109","74","92","25","32","79","124","215","437","544","461","371","257","118","231","93","117","208","178","230","235","566","825","439","367","131","261","93","85","320","239","467","337","569","656","402","434","216","305","280","200","225","274","511","545","771","1,122","498","444"
"Western Europe","114","193","135","38","20","5","2","5","0","1","44","1","1","0","176","8","202","52","29","4","19","78","19","21","5","20","16","57","137","132","205","281","231","146","69","51","30","71","102","96","116","89","157","312","255","125","57","60","47","36","110","95","203","161","214","264","189","147","107","73","161","61","88","117","220","156","247","394","211","144"
"Central/Eastern Europe","33","14","43","4","20","8","16","0","19","0","0","3","0","0","32","4","50","15","8","2","7","0","12","3","7","4","1","2","13","21","39","18","32","18","9","24","3","11","13","8","18","4","63","20","25","8","10","28","5","14","23","16","4","19","29","29","21","9","9","8","9","22","11","19","10","53","28","54","16","21"
"Northern Europe","128","122","63","6","20","0","1","86","25","0","72","4","0","0","41","0","56","23","20","25","18","26","23","62","7","4","42","45","53","258","267","132","95","33","34","117","46","21","65","63","73","108","287","407","133","186","34","138","27","23","169","97","165","122","284","290","157","272","82","193","81","72","84","112","225","265","422","585","218","232"
"Southern Europe","22","51","23","0","4","0","1","0","0","0","0","0","0","0","28","1","44","12","4","0","1","5","20","3","6","2","19","13","8","22","30","25","13","60","1","39","13","13","23","10","23","26","49","59","16","43","17","28","11","10","17","11","47","14","23","39","26","6","15","16","28","25","32","10","32","57","36","50","29","33"
"East Mediterranean Europe","5","0","10","0","0","0","0","0","0","0","0","0","0","0","2","9","12","0","0","0","0","0","0","3","0","2","1","7","4","4","3","5","0","0","5","0","1","1","5","1","0","8","10","27","10","5","13","7","3","2","1","20","48","21","19","34","9","0","3","15","1","20","10","16","24","14","38","39","24","14"
"Europe, n.o.s. 4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Africa","129","45","35","0","5","135","45","0","23","0","0","31","21","0","27","0","66","17","7","237","14","0","10","9","14","8","9","14","39","65","42","69","35","32","40","28","9","0","18","23","55","113","94","181","155","123","54","72","14","28","39","76","90","103","201","223","186","118","73","82","50","46","35","65","187","245","205","325","205","171"
"Western Africa","95","32","29","0","5","135","45","0","23","0","0","31","21","0","23","0","47","8","3","0","14","0","10","2","14","7","7","13","34","55","18","47","28","32","24","12","6","0","14","17","45","64","57","141","121","88","42","57","6","25","28","57","75","56","117","180","102","100","60","63","22","35","26","52","146","203","174","278","190","142"
"Eastern Africa","23","4","1","0","0","0","0","0","0","0","0","0","0","0","4","0","18","7","2","0","0","0","0","3","0","0","1","1","1","6","3","0","7","0","4","6","1","0","4","0","4","22","34","27","11","33","0","6","3","2","5","15","6","12","43","8","23","15","2","3","16","5","3","10","20","32","26","19","7","20"
"Northern Africa","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","4","3","1","0","1","3","1","0","0","0","4","1","0","0","0","1"
"Central Africa","2","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","2","0","0","0","0","0","0","0","0","0","14","1","5","0","0","0","5","0","1","0","0","0","0","7","1","1"
"Southern Africa","9","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","229","0","0","0","2","0","1","1","0","4","4","21","22","0","0","12","8","2","0","0","3","6","27","2","13","21","2","12","9","5","1","6","3","8","35","23","31","55","3","10","13","6","6","5","3","17","9","5","21","7","7"
"Africa, n.o.s. 5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Asia","235","246","117","7","2","55","54","83","0","181","41","2","48","0","55","0","37","37","15","0","13","1","17","24","12","68","24","44","66","111","34","55","76","105","78","94","88","110","200","193","325","536","549","557","553","330","176","160","117","121","189","250","347","626","557","493","480","450","257","212","200","224","196","257","390","290","386","518","234","270"
"Middle East","6","7","22","2","0","0","0","0","0","0","0","0","25","0","27","0","17","30","11","0","1","0","0","2","1","27","1","9","3","9","2","7","7","12","8","4","6","3","1","12","5","20","42","19","27","7","0","5","4","1","3","11","11","29","38","45","17","18","11","10","15","1","5","15","9","27","27","47","10","12"
"Northeast Asia","167","171","38","3","0","55","0","0","0","4","3","0","0","0","6","0","11","4","1","0","3","0","8","5","5","2","12","6","12","48","10","33","8","54","36","59","58","72","119","90","124","202","244","300","247","97","83","65","60","77","67","90","113","163","216","218","194","176","90","66","43","135","54","72","82","43","98","260","69","76"
"Southeast Asia","42","54","32","2","0","0","54","72","0","0","0","0","0","0","5","0","3","0","0","0","0","1","4","9","1","5","3","18","25","8","9","12","9","9","23","18","18","8","32","37","91","213","169","146","198","164","52","61","39","30","86","115","172","299","197","164","194","201","127","106","82","37","70","83","139","72","130","107","92","118"
"Southern Asia","20","14","25","0","2","0","0","11","0","177","38","2","23","0","17","0","6","3","3","0","9","0","5","8","5","34","8","11","26","46","13","3","52","30","11","13","6","27","48","54","105","101","94","92","81","62","41","29","14","13","33","34","51","135","106","66","75","55","29","30","60","51","67","87","160","148","131","104","63","64"
"Asia, n.o.s. 6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oceania","108","74","52","0","0","0","55","0","29","0","0","0","19","0","12","0","7","5","3","0","0","0","41","22","7","12","25","14","15","18","59","58","12","14","21","49","12","13","25","15","111","150","201","260","62","77","39","61","28","40","25","70","57","138","262","102","64","142","69","110","43","52","39","56","71","75","109","100","53","47"
"Australasia","104","74","46","0","0","0","55","0","29","0","0","0","19","0","9","0","6","5","2","0","0","0","41","22","7","12","25","14","15","18","59","58","12","14","21","49","12","13","25","15","106","146","201","260","62","77","39","61","28","40","24","70","57","132","257","102","60","142","69","110","43","52","38","56","71","73","95","100","53","43"
"Melanesia","0","0","6","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Micronesia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","5","0","0","0","0","0","0","0","1","0","0","2","14","0","0","4"
"Polynesia","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oceania, n.o.s. 7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Antarctica and Adjacent Islands","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Antarctica and Adjacent Islands Region","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Antarctica and Adjacent Islands, n.o.s. 8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"




Footnotes:
1,"Throughout the existence of the Tourism Statistics Program, Statistics Canada introduced changes to improve the quality of its data (for example, a new method for estimating the country of residence breakdowns of overseas travellers entering Canada at land ports was implemented in August 2018). For further information on the methodology used by Frontier Counts or the changes implemented over time, users are advised to consult the <a href="https://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=5005" rel="external noopener noreferrer" target="_blank">Frontier Counts (opens new window)</a> pages."
2,"Countries align with the <a href="https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1521179" rel="external noopener noreferrer" target="_blank">Variant of the Standard Classification of Countries and Areas of Interest 2022 for Travel Statistics (opens new window)</a>."
3,"Americas, not otherwise specified (n.o.s.) includes persons who report Americas."
4,"Europe, not otherwise specified (n.o.s.) includes persons who report Europe."
5,"Africa, not otherwise specified (n.o.s.) includes persons who report Africa."
6,"Asia, not otherwise specified (n.o.s.) includes persons who report Asia."
7,"Oceania, not otherwise specified (n.o.s.) includes persons who report Oceania."
8,"Antarctica and Adjacent Islands, not otherwise specified (n.o.s.) includes persons who report Antarctica and Adjacent Islands."



"How to cite: Statistics Canada. Table 24-10-0050-01  Non-resident visitors entering Canada, by country of residence"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2410005001
